code; name; state; owner; latitude; longitude; kind; size; difficulty; terrain; status; hidden_date; founds; not_founds; favourites; altitude
GCWA0A;Surf Spot [Mafra];LISBOA;Bargao_Henriques;39.00065;-9.42525;TRADITIONAL;REGULAR;1.5;2.5;AVAILABLE;2006/05/29;520;2;12;10
GC15XEX;SEIXOSO ;PORTO;eterlusitano;41.343483;-8.131433;TRADITIONAL;REGULAR;2;2;AVAILABLE;2007/09/13;65;5;1;504
GC16Y7B;Marina colours [Albufeira];FARO;alieri;37.080383;-8.261933;MULTI;SMALL;1.5;2.5;AVAILABLE;2007/10/24;887;17;43;3
GCYGZA;Enigma;SETUBAL;NFreitas;38.64025;-9.159583;PUZZLE;NOT_CHOSEN;3.5;1;AVAILABLE;2006/09/25;300;57;28;6
GC14FK2;Castle [Tavira];FARO;alieri;37.1251;-7.65095;TRADITIONAL;MICRO;1.5;1.5;AVAILABLE;2007/07/19;1381;64;56;10
GC174WT;ARRIFE Twins VI;SANTAREM;sammendes;39.5844;-8.540717;TRADITIONAL;SMALL;2;3.5;AVAILABLE;2007/11/03;114;2;6;155
GC1216J;CRASTO;VILA REAL;NSilva & Gorete;41.402817;-7.380033;TRADITIONAL;REGULAR;2;2.5;AVAILABLE;2007/04/08;77;0;5;-9999999
GCGP35;The lost world;VISEU;jppina;40.6946;-7.7701;TRADITIONAL;REGULAR;2;3.5;AVAILABLE;2003/08/18;75;10;12;367
GCV4GD;Era uma vez... no Fontelo;VISEU;rifkindsss;40.656767;-7.900883;TRADITIONAL;SMALL;1.5;1.5;AVAILABLE;2006/03/29;1091;24;4;495
GC10H2Z;PROJECTO VG - S. GENS (SERRA D'OSSA);EVORA;Portelada;38.739467;-7.58385;TRADITIONAL;MICRO;1.5;4;AVAILABLE;2007/01/20;115;7;3;-9999999
GC169NM;Mae Soberana [Loule];FARO;VespaFriendsAlgarve;37.140317;-8.035867;MULTI;REGULAR;1.5;1.5;AVAILABLE;2007/09/29;473;4;6;173
GCYP99;Nossa Senhora da Abadia - Bouro Sta Maria, Amares;BRAGA;Jafqa;41.674067;-8.260233;MULTI;REGULAR;2.5;4;AVAILABLE;2006/10/05;125;14;7;-9999999
GC16QE3;Over the Rainbow [Serra D'Aire];LEIRIA;Limao;39.559883;-8.762767;TRADITIONAL;REGULAR;2;3.5;AVAILABLE;2007/10/14;119;1;5;-9999999
GCXPYB;Cabeco da Neve [Tondela, Viseu];VISEU;almeidara;40.55315;-8.179083;TRADITIONAL;REGULAR;1.5;1.5;AVAILABLE;2006/08/14;366;12;8;975
GCY37F;XXL Challenge - [Minas dos Carris];VILA REAL;Walcarr;41.8116;-8.043283;TRADITIONAL;REGULAR;2;4.5;AVAILABLE;2006/09/02;254;4;54;1391
GC130DA;Cerro de Cabeco de Camara [Loule];FARO;Torgut;37.113617;-8.061033;TRADITIONAL;SMALL;1.5;2;AVAILABLE;2007/05/18;230;2;4;220
GC179EE;Nossa Senhora da Arrabida;SETUBAL;Os Galaxy;38.4942;-8.9669;TRADITIONAL;REGULAR;1.5;1;AVAILABLE;2007/11/09;689;17;10;-9999999
GC16TT0;Terreiro de Sansao;COIMBRA;lestro;40.211067;-8.42942;TRADITIONAL;MICRO;2;1;DISABLED;2007/10/20;1699;53;58;30
GCT86B;Aire [Ourem];SANTAREM;HDV;39.535883;-8.6366;TRADITIONAL;REGULAR;1;3;AVAILABLE;2006/01/30;218;1;11;672
GC12ZAB;Palacio de Monserrate [Sintra];LISBOA;All Happy;38.790033;-9.420033;TRADITIONAL;REGULAR;1.5;2.5;AVAILABLE;2007/05/18;405;6;30;214
GC8F8B;The Lying Man [ Valenca ];VIANA DO CASTELO;flashkent;41.990017;-8.549917;TRADITIONAL;REGULAR;3.5;3.5;AVAILABLE;2002/09/15;73;3;23;582
GC132ZY;A mais antiga! [Lamego];VISEU;almeidara;41.107017;-7.783067;MULTI;REGULAR;1.5;1.5;AVAILABLE;2007/05/21;97;14;2;280
GCK9AV;Lopo Vaz;ARQUIPELAGO DOS ACORES;nurbocris;39.375;-31.206433;TRADITIONAL;MICRO;2;4;AVAILABLE;2004/08/04;92;6;8;11
GCY503;Navarone's Fortress [Trafaria];SETUBAL;B.O.D.A.;38.659617;-9.234283;MULTI;REGULAR;2;2.5;AVAILABLE;2006/10/26;390;19;86;80
GC7196;Megalithic Monuments (English version);PORTALEGRE;acaciolobo;39.424033;-7.476233;MULTI;REGULAR;1.5;1.5;AVAILABLE;2002/07/15;137;1;8;473
GC13J9M;Seaside Paradise;FARO;kidloco;37.088467;-8.1957;TRADITIONAL;SMALL;1.5;2;AVAILABLE;2007/06/29;1182;17;67;3
GC11317;Ponte da Boutaca [Batalha];LEIRIA;olharapo;39.658317;-8.8307;TRADITIONAL;REGULAR;1.5;2.5;AVAILABLE;2007/02/22;918;44;13;75
GC13MBA;Agua;VILA REAL;Reino Maravilhoso;41.17365;-7.671567;MULTI;REGULAR;2;2;AVAILABLE;2007/06/14;79;6;5;616
GC15AWK;Minas do Ouro Negro [Geoparque Arouca];AVEIRO;daraopedal;40.878783;-8.136;TRADITIONAL;SMALL;1.5;2.5;AVAILABLE;2007/08/21;319;2;23;671
GC17ANM;Molhe de Sesimbra - Farois de Portugal;SETUBAL;PPereira;38.438383;-9.107617;TRADITIONAL;REGULAR;2;2;AVAILABLE;2007/11/10;1119;37;13;1
GCW9N5;Quinta do Major [Malcata];CASTELO BRANCO;olharapo;40.223117;-7.037283;TRADITIONAL;REGULAR;1.5;4.5;AVAILABLE;2006/05/22;31;5;2;-9999999
GC16EGA;Grande Chamine [Vala do Carregado];LISBOA;mtrevas;39.009017;-8.951833;TRADITIONAL;MICRO;2.5;1.5;AVAILABLE;2007/10/05;427;3;2;-9999999
GC110VR;Senhora do Monte [Leiria];LEIRIA;cc_pt;39.689933;-8.761367;TRADITIONAL;REGULAR;2;2;AVAILABLE;2007/02/18;601;1;2;281
GCPAA4;A Hora do Lobo [Mafra];LISBOA;btrodrigues;38.960633;-9.27165;MULTI;REGULAR;2.5;2.5;AVAILABLE;2005/06/14;180;8;8;190
GC14FT6;Castelo dos Templarios;SANTAREM;ftomar;39.602817;-8.418667;TRADITIONAL;SMALL;2;2;AVAILABLE;2007/07/19;1214;41;51;108
GCRTE1;Vila da Povoa de Mon Real;LEIRIA;CastorSereno;39.85015;-8.856167;TRADITIONAL;MICRO;2.5;1.5;AVAILABLE;2005/12/31;695;39;5;38
GCKPHV;The dreamer?s door [Lisboa];LISBOA;btrodrigues;38.73805;-9.157417;TRADITIONAL;MICRO;2.5;2;AVAILABLE;2004/10/02;1103;78;13;55
GC14NV8;Alegrete;PORTALEGRE;luis74;39.236883;-7.324533;TRADITIONAL;SMALL;1;1.5;DISABLED;2007/07/27;126;22;11;-9999999
GCN6YP;The sun watch of Margiochi;EVORA;Zimbra Team;38.56735;-7.910983;TRADITIONAL;SMALL;1.5;1.5;DISABLED;2005/03/24;1197;86;3;-9999999
GC11WKC;Senhor dos Martires [Alcacer do Sal];SETUBAL;almeidara;38.372867;-8.520783;TRADITIONAL;REGULAR;1.5;1.5;AVAILABLE;2007/04/02;862;25;20;28
GC640F;Stairway to Heaven;VIANA DO CASTELO;GreenShades;41.973133;-8.233567;TRADITIONAL;REGULAR;2;4;AVAILABLE;2002/06/09;169;2;46;-9999999
GCTC0Y;O Tejo e mais belo [Lisboa];LISBOA;Felinos;38.69835;-9.179867;TRADITIONAL;SMALL;2;1;AVAILABLE;2006/02/07;1173;144;18;2
GCP6G6;Azenha do Tenente  [Fragoso ? Barcelos];BRAGA;OlhoMeirinho;41.621483;-8.712117;TRADITIONAL;NOT_CHOSEN;2;2.5;AVAILABLE;2005/06/05;242;11;0;25
GCJN1H;Cabo da Roca II - The W point of Europa;LISBOA;Portelada;38.78435;-9.496;TRADITIONAL;REGULAR;1.5;3.5;AVAILABLE;2004/06/07;692;9;66;57
GC177AB;A Beira Rio [Cartaxo];SANTAREM;FamiliaSilvestre;39.084233;-8.756133;MULTI;SMALL;1.5;2;AVAILABLE;2007/11/03;161;22;1;9
GC15QX7;PX1- Praia da Falca;LEIRIA;papoilix;39.648083;-9.070917;TRADITIONAL;REGULAR;1.5;2;AVAILABLE;2007/09/07;459;2;7;15
GC132J9;CITaNIA DE SANFINS (Pacos de Ferreira);PORTO;eterlusitano;41.321183;-8.370283;MULTI;SMALL;2.5;2.5;AVAILABLE;2007/05/18;112;9;11;-9999999
GCVV68;Fernando Pessoa [Lisboa];LISBOA;btrodrigues;38.710617;-9.142083;TRADITIONAL;MICRO;2;1;DISABLED;2006/05/03;1701;140;155;40
GC15C9T;Ribat da Arrifana [Aljezur];FARO;acasim;37.31965;-8.876167;TRADITIONAL;SMALL;1;2.5;AVAILABLE;2007/08/23;521;3;29;30
GCV6HF;Ribeira do Espirito Santo [Gaia - pt+en];PORTO;Drive-In Team;41.068917;-8.658267;MULTI;SMALL;1.5;2;AVAILABLE;2006/03/18;309;28;7;-9999999
GC12B4D;Tojeira;LISBOA;dasfadania;39.188183;-9.078883;TRADITIONAL;REGULAR;2.5;3;AVAILABLE;2007/04/21;227;3;0;294
GC1519F;Serra do Larouco - Montalegre;VILA REAL;Silvana;41.880233;-7.7193;TRADITIONAL;REGULAR;1.5;2;AVAILABLE;2007/08/01;139;1;12;1482
GCT93B;Contacto [Almada, Setubal];SETUBAL;almeidara;38.6296;-9.23125;PUZZLE;SMALL;3.5;1;AVAILABLE;2006/02/07;246;6;7;0
GCQWCG;Bridge [Matosinhos];PORTO;PauloJota;41.217783;-8.646517;MULTI;SMALL;3;2;AVAILABLE;2005/10/08;230;28;1;19
GC15CA3;AVENTURA NO RIO oLO;PORTO;eterlusitano;41.3073;-8.003233;TRADITIONAL;SMALL;2.5;3;AVAILABLE;2007/08/24;22;5;4;133
GCVRYQ;Torstens Corner;FARO;zappelfry;37.0563;-8.8514;TRADITIONAL;REGULAR;3;3.5;AVAILABLE;2006/05/01;143;25;25;-9999999
GCQ2BN;S. Lourenco Beach [Mafra];LISBOA;Bargao_Henriques;39.010167;-9.425167;MULTI;REGULAR;1.5;2.5;AVAILABLE;2005/08/08;369;4;18;4
GC15PPR;The Lagos 6 + 1 - #4 Odiaxere;FARO;Team Caracache;37.148817;-8.6559;MULTI;SMALL;2;2.5;AVAILABLE;2007/09/05;164;15;14;12
GCQN3Q;Mata do Bussaco;AVEIRO;clcortez;40.3711;-8.365867;TRADITIONAL;REGULAR;2;2;AVAILABLE;2005/09/21;1007;21;55;-9999999
GCHWVE;Afloramentos Graniticos;LISBOA;RASD;38.76105;-9.435083;TRADITIONAL;REGULAR;2;3;AVAILABLE;2004/03/11;544;12;81;329
GC16HG3;PILAR ;PORTO;eterlusitano;41.286617;-8.427467;TRADITIONAL;SMALL;3.5;2.5;AVAILABLE;2007/10/08;174;1;3;472
GCPZHC;The Lost Nazi Mine [Arouca];AVEIRO;Os Cacheiros Viajantes;40.872667;-8.1888;TRADITIONAL;SMALL;2.5;2.5;AVAILABLE;2005/07/29;636;2;208;-9999999
GC12PRD;Contencas de Cima [Mangualde];VISEU;Pedro Matos;40.55675;-7.71905;TRADITIONAL;REGULAR;1.5;1.5;AVAILABLE;2007/05/06;195;0;1;474
GC88D3;Castelo dos Mouros;LISBOA;MAntunes;38.792783;-9.387783;TRADITIONAL;REGULAR;4;3.5;AVAILABLE;2002/09/01;706;184;123;388
GC14NYB;Montargil [08]: O Patriarca;PORTALEGRE;Matusarum;39.123317;-8.133117;TRADITIONAL;SMALL;1.5;1.5;AVAILABLE;2007/07/27;301;3;24;-9999999
GC176H2;UBI - Universidade da Beira Interior [Covilha];CASTELO BRANCO;pEtErpAn&sInInhO;40.27375;-7.508333;MULTI;REGULAR;3;1.5;AVAILABLE;2007/11/05;381;16;11;682
GCTMQN;Condestavel [Ourem];SANTAREM;HDV;39.642283;-8.592717;TRADITIONAL;SMALL;1.5;1;AVAILABLE;2006/02/27;980;5;26;308
GC127DV;Santuario do Senhor Do Monte;VILA REAL;Silvana;41.67715;-7.621667;TRADITIONAL;REGULAR;2;3;AVAILABLE;2007/04/10;94;1;0;641
GCV3TK;Castelo de Castro Laboreiro;VIANA DO CASTELO;rifkindsss;42.02295;-8.15815;TRADITIONAL;REGULAR;2;4;AVAILABLE;2006/04/20;468;10;83;984
GC12Y4J;The Masterpiece (Serralves);PORTO;kidloco;41.159783;-8.659833;PUZZLE;SMALL;4;1.5;AVAILABLE;2007/05/19;235;33;24;-9999999
GC16ZJ3;PARQUE DA CIDADE DE PAREDES;PORTO;eterlusitano;41.208733;-8.3252;TRADITIONAL;SMALL;1.5;1.5;AVAILABLE;2007/10/26;315;83;1;-9999999
GCPFNG;Linhas de Torres Monumento e Forte de Alhandra;LISBOA;lamas;38.925267;-9.015083;MULTI;SMALL;2;2.5;AVAILABLE;2005/06/26;278;13;9;65
GCXVT1;Areeiro - Pinhal de Leiria;LEIRIA;MR.MAG00;39.813967;-8.972167;TRADITIONAL;REGULAR;2.5;3.5;AVAILABLE;2006/08/20;350;6;32;67
GC173X8;ARRIFE Twins I;SANTAREM;sammendes;39.495767;-8.628167;TRADITIONAL;SMALL;1.5;3.5;AVAILABLE;2007/11/01;107;1;9;207
GC1575N;BlackJack;LISBOA;Blue_Trekkers;38.763186;-9.061146;PUZZLE;MICRO;3;1;AVAILABLE;2007/08/18;413;66;2;0
GC14VBT;Praca Forte de Peniche;LEIRIA;B.O.D.A.;39.354;-9.380167;MULTI;SMALL;1.5;1.5;AVAILABLE;2007/08/31;913;131;7;-9999999
GCTZTA;Judiaria [Lisboa Medieval];LISBOA;almeidara;38.711333;-9.136717;TRADITIONAL;MICRO;1.5;1;DISABLED;2006/03/20;2112;323;31;12
GC161R1;PICOTO (VG);PORTO;eterlusitano;41.285717;-8.018033;TRADITIONAL;SMALL;2;2;AVAILABLE;2007/09/18;77;5;1;526
GC15WJK;[Siglas Poveiras] Senhora da Guia;PORTO;emlino;41.340633;-8.749383;TRADITIONAL;OTHER_SIZE;2;1.5;AVAILABLE;2007/09/11;485;53;7;-9999999
GC172XN;ROTA DOS ROMEIROS ;BRAGA;eterlusitano;41.49385;-8.134383;TRADITIONAL;MICRO;3;2;AVAILABLE;2007/10/31;75;0;0;547
GC137DE;Ermida do Livramento;SETUBAL;riraposo;38.1081;-8.677283;TRADITIONAL;REGULAR;1.5;1.5;AVAILABLE;2007/05/28;209;2;20;288
GC15984;VG OUTEIRAO, A 922 MTS DE SI...;BRAGA;eterlusitano;41.595133;-8.0286;TRADITIONAL;SMALL;2;2;AVAILABLE;2007/08/20;49;4;3;891
GC12M20;Capela de Santa Marta [Benquerenca];CASTELO BRANCO;Blue_Trekkers;40.205533;-7.239867;TRADITIONAL;REGULAR;1.5;3;AVAILABLE;2007/04/28;54;3;0;792
GCW5H3;Baleal [Peniche];LEIRIA;paulohercules;39.372967;-9.3414;TRADITIONAL;OTHER_SIZE;2;1.5;AVAILABLE;2006/05/21;1648;37;15;3
GC11FRJ;SANTA TECLA;BRAGA;eterlusitano;41.415433;-8.405267;TRADITIONAL;REGULAR;2;2;AVAILABLE;2007/03/14;302;12;3;288
GC15M5W;Santo Antonio dos Capuchos [Leiria];LEIRIA;AntMadeira;39.743917;-8.813867;TRADITIONAL;SMALL;1;1.5;DISABLED;2007/09/02;1304;37;0;61
GC165J7;Uma Quinta na Granja;LISBOA;Daniel C;38.845783;-9.113;TRADITIONAL;REGULAR;1.5;2;AVAILABLE;2007/09/21;394;4;4;5
GC16JGV;O Mar Salgado...;LISBOA;Team Ferreira;38.825517;-9.4694;MULTI;SMALL;1.5;2;AVAILABLE;2007/10/10;240;12;5;3
GC132Q8;Geol. Time: an Ordovician perspective - DP/EC11;BEJA;danieloliveira;38.151367;-6.985917;EARTHCACHE;NOT_CHOSEN;1;1;AVAILABLE;2007/05/21;72;0;7;183
GC1704M;Forno das Feiticeiras [Outao - Setubal];SETUBAL;truta;38.487817;-8.9371;TRADITIONAL;SMALL;2;3;AVAILABLE;2007/10/21;412;12;70;19
GCYHNG;TP02 - NO REINO DOS BURII [Pte da Barca];VIANA DO CASTELO;Fernando Rei;41.770867;-8.374217;TRADITIONAL;REGULAR;3.5;4;AVAILABLE;2006/09/27;99;3;20;720
GC1409E;Arvores de Interesse Publico [Lx];LISBOA;RuiJSDuarte;38.7163;-9.148433;MULTI;SMALL;1.5;1.5;AVAILABLE;2007/06/29;110;21;20;-9999999
GC12WX3;Anta... [Mangualde];VISEU;cmatos;40.570117;-7.771;TRADITIONAL;REGULAR;1.5;1.5;AVAILABLE;2007/05/12;270;4;5;398
GCGZCK;Fenda da Calcedonia;BRAGA;Silvana;41.725133;-8.200883;TRADITIONAL;REGULAR;2;4.5;AVAILABLE;2003/09/20;732;60;207;851
GCZ85M;Alte la baixo [Alte];FARO;& Company;37.231633;-8.179467;TRADITIONAL;REGULAR;2;2;AVAILABLE;2006/11/01;527;29;69;150
GC8D56;Rubber;ARQUIPELAGO DOS ACORES;frenne;37.7434;-25.675517;VIRTUAL;VIRTUAL;1;1;AVAILABLE;2002/09/09;1346;2;137;33
GC14ADZ;Vale da Lapa - B44;LEIRIA;bmps2003;39.594083;-8.72015;TRADITIONAL;REGULAR;3;4;AVAILABLE;2007/07/12;162;9;7;424
GC16AZ6;AA13 - A Nossa Praia [Praia do Pedrogao];LEIRIA;Paulo_Domingues;39.91605;-8.954717;TRADITIONAL;SMALL;2.5;2;AVAILABLE;2007/09/30;820;30;1;2
GC127B0;Ermida de Sao Domingos;VISEU;Saltacachinhas;41.1204;-7.746733;TRADITIONAL;REGULAR;1;1.5;AVAILABLE;2007/04/14;227;11;0;716
GC15NXD;The Lagos 6+1: #5 - Sao Sebastiao;FARO;Team Caracache;37.101433;-8.677867;MULTI;SMALL;1.5;2;AVAILABLE;2007/09/04;187;2;3;-9999999
GC156QQ;Burca [Milfontes Powertrail #3]  ;BEJA;vsergios;37.763017;-8.8069;TRADITIONAL;REGULAR;1.5;2.5;AVAILABLE;2007/08/13;344;11;10;19
GCV5AY;RUDIAN (Arrabida);SETUBAL;samcam;38.481517;-8.981133;MULTI;OTHER_SIZE;4;4.5;AVAILABLE;2006/03/31;257;9;117;91
GC12B2D;Nascente do Almonda [Torres Novas];SANTAREM;olharapo;39.505;-8.614917;TRADITIONAL;REGULAR;1.5;1.5;AVAILABLE;2007/04/21;336;1;9;85
GCED4F;The Jewell of Saphire;EVORA;GreenShades;38.61655;-8.32341;TRADITIONAL;LARGE;2;1;AVAILABLE;2003/03/02;484;26;118;204
GC152JC;Igreja de S.Bento de Vairao [Vila do Conde];PORTO;cmcfaria;41.332633;-8.6696;MULTI;SMALL;2;1;AVAILABLE;2007/08/11;282;3;0;61
GC168Y6;Ponte de Sequeiros;GUARDA;sammendes;40.477717;-7.002217;MULTI;SMALL;2.5;2.5;AVAILABLE;2007/09/28;80;6;7;656
GCVNAD;Arvores [Lindoso];VIANA DO CASTELO;K!nder;41.866233;-8.199833;TRADITIONAL;SMALL;2;2.5;AVAILABLE;2006/04/24;598;24;41;448
GC12D5F;Nossa Senhora de Cervaes [Mangualde];VISEU;cmatos;40.58445;-7.6992;TRADITIONAL;REGULAR;1.5;1;AVAILABLE;2007/04/21;211;2;0;544
GC11501;Cividade de Bagunte;PORTO;kidloco;41.383167;-8.656117;TRADITIONAL;SMALL;1.5;2;AVAILABLE;2007/02/25;389;2;6;193
GC16TB3;Castelo Branco - Sra de Mercoles;CASTELO BRANCO;khukhas;39.818767;-7.451833;MULTI;REGULAR;1.5;1.5;AVAILABLE;2007/10/19;301;4;0;-9999999
GCMD9X;The Prophet;ARQUIPELAGO DA MADEIRA;Crocodilo;33.086667;-16.355883;MULTI;SMALL;2;2;AVAILABLE;2005/01/02;123;4;7;-9999999
GCVYZR;FTF!! FTF!! FTF!!;LISBOA;Felinos;38.743117;-9.13595;TRADITIONAL;MICRO;1.5;1.5;AVAILABLE;2006/05/09;1331;48;5;84
GC13JN6;Moinho do Penigueto [Braganca];BRAGANCA;Bargao_Henriques;41.722333;-6.664383;TRADITIONAL;SMALL;1.5;2;AVAILABLE;2007/06/09;25;0;3;-9999999
GCQYE3;Lenda de S. Pedro de Rates, Povoa de Varzim;PORTO;ar-my;41.42325;-8.672733;MULTI;SMALL;2;2;AVAILABLE;2005/10/12;415;1;3;40
GCRJZR;A cache que ja esteve num vulcao;LISBOA;lynx pardinus;38.8603;-9.4467;TRADITIONAL;REGULAR;2;2;AVAILABLE;2005/12/08;350;2;2;79
GC15HGH;Monte Ermo;BRAGANCA;pvasques;41.104767;-6.803583;TRADITIONAL;SMALL;3;2;AVAILABLE;2007/08/29;147;2;4;591
GC110RM;Moinhos do Oeste [Montejunto];LISBOA;NFreitas;39.17365;-9.087317;MULTI;REGULAR;2;2;AVAILABLE;2007/02/18;181;3;8;366
GC15CGR;Zavial Beach [Vila do Bispo];FARO;Jdmarques;37.0462;-8.87255;TRADITIONAL;SMALL;2;3;AVAILABLE;2007/08/24;609;12;24;6
GCVJ0A;Tangram [Lisboa];LISBOA;hulkman;38.701667;-9.153333;PUZZLE;SMALL;4;1.5;AVAILABLE;2006/04/24;176;18;20;0
GC147F4;Conto de Fadas II - [Monsaraz];EVORA;NestumMel;38.4465;-7.379;TRADITIONAL;REGULAR;1.5;2;AVAILABLE;2007/07/08;841;4;28;296
GC15M9F;Lapas - Torres Novas;SANTAREM;pedantunes;39.49445;-8.556667;MULTI;SMALL;2;2;DISABLED;2007/09/02;175;17;5;53
GC103AM;A Salto;CASTELO BRANCO;MAntunes;39.821333;-6.973517;MULTI;REGULAR;2.5;3;AVAILABLE;2006/12/30;75;4;14;-9999999
GC12Z01;Obelisco da Memoria [Perafita - Matosinhos];PORTO;p@Che;41.232033;-8.7215;TRADITIONAL;MICRO;1.5;1.5;AVAILABLE;2007/05/16;1103;26;9;6
GCP007;Moorish River;COIMBRA;Geografo;40.09715;-8.4996;TRADITIONAL;SMALL;2;3.5;AVAILABLE;2005/05/19;270;9;64;-9999999
GC161M4;Salvem o Rio Ave;PORTO;emlino;41.367033;-8.696217;TRADITIONAL;SMALL;1.5;2;AVAILABLE;2007/09/18;200;19;1;7
GCPRK6;Parque Natural de S. Matias;VISEU;jorgeconceicao;40.795;-7.661967;TRADITIONAL;REGULAR;1;2;AVAILABLE;2005/07/17;79;2;4;719
GC1059M;Nossa Senhora Mae de Deus e dos Homens [Pragal];SETUBAL;cyclopes;38.6748;-9.173017;TRADITIONAL;MICRO;1.5;1;AVAILABLE;2007/01/01;945;32;1;74
GCT7QN;What time is it? / Que horas sao? [Lisboa];LISBOA;rebordao;38.706233;-9.143067;PUZZLE;SMALL;3.5;2;AVAILABLE;2006/02/11;173;9;9;5
GCRQT1;Guns of Navarone [Trafaria];SETUBAL;B.O.D.A.;38.668217;-9.235267;TRADITIONAL;REGULAR;2;2;AVAILABLE;2005/12/26;612;9;100;-9999999
GC111CZ;The Circuit of the Coke [:)];BEJA;almeidara;37.57765;-8.261933;MULTI;REGULAR;1.5;1.5;AVAILABLE;2007/02/19;93;4;5;209
GC147F4;Conto de Fadas II - [Monsaraz];EVORA;NestumMel;38.4465;-7.379;TRADITIONAL;REGULAR;1.5;2;AVAILABLE;2007/07/08;841;4;28;296
GC14RM9;Curral do Negro [Gouveia];GUARDA;cmatos;40.490883;-7.574817;TRADITIONAL;REGULAR;1.5;1.5;AVAILABLE;2007/07/28;292;1;6;887
GCP007;Moorish River;COIMBRA;Geografo;40.09715;-8.4996;TRADITIONAL;SMALL;2;3.5;AVAILABLE;2005/05/19;270;9;64;-9999999
GCZFEJ;Po-de-Anjo [Palmela, Setubal];SETUBAL;almeidara;38.564067;-8.938683;MULTI;REGULAR;1;1.5;AVAILABLE;2006/11/26;201;40;5;95
GC16W9B;Vamos a banhos [Mangualde];VISEU;cmatos;40.604483;-7.872333;TRADITIONAL;REGULAR;2;3;AVAILABLE;2007/10/21;297;2;5;232
GC16MM8;RELOGIO DE SOL - ALPEDRIZ;LEIRIA;NSilva & Gorete;39.6267;-8.94945;MULTI;SMALL;1;1.5;AVAILABLE;2007/10/13;304;3;0;42
GC12DVZ;Barquinha e o Tejo aqui ao lado;SANTAREM;Paulo Martins;39.457333;-8.432383;MULTI;REGULAR;1.5;1;AVAILABLE;2007/04/24;490;32;7;25
GC13JN5;Penedo de Pena Maior [Braganca];BRAGANCA;Bargao_Henriques;41.712433;-6.66445;TRADITIONAL;REGULAR;1.5;1.5;AVAILABLE;2007/06/09;32;0;3;654
GC148QM;penedo das letras (braga);BRAGA;vitinhaxXx;41.467367;-8.457917;MULTI;REGULAR;2;2;AVAILABLE;2007/07/10;157;8;8;442
GCRTEH;Monte Redondo;LEIRIA;mafilll;39.89235;-8.8434;TRADITIONAL;SMALL;2.5;3;AVAILABLE;2007/04/08;369;17;4;60
GC14WVG;Castro da Carcoda - Andancas 2007 [S. Pedro Sul];VISEU;daraopedal;40.80375;-8.1208;TRADITIONAL;SMALL;2;3;AVAILABLE;2007/08/03;144;1;4;541
GCPM58;The Giants of Don Quijote - Sabugal;GUARDA;amoreira;40.3064;-7.155867;PUZZLE;REGULAR;1;1;AVAILABLE;2005/07/08;70;3;1;-9999999
GC15MQC;Make the Audience Suffer!;FARO;Team Caracache;37.099617;-8.671783;PUZZLE;MICRO;3;2.5;AVAILABLE;2007/09/03;148;15;17;13
GC16K7J;Da Oliveira a Penha II [Guimaraes];BRAGA;hfilipe;41.445583;-8.292517;MULTI;REGULAR;2.5;2;AVAILABLE;2006/04/30;249;13;12;205
GC15999;CABECEIRAS A VISTA;BRAGA;eterlusitano;41.490767;-8.02445;TRADITIONAL;REGULAR;2.5;2;AVAILABLE;2007/08/20;60;2;2;750
GCXB38;Passeio pelo Parque de Montachique [ Loures ];LISBOA;B.O.D.A.;38.904567;-9.184233;TRADITIONAL;SMALL;3.5;3;AVAILABLE;2006/07/22;608;10;2;-9999999
GC174K8;ARRIFE Twins III;SANTAREM;sammendes;39.532533;-8.595517;TRADITIONAL;SMALL;2;3.5;AVAILABLE;2007/11/02;107;4;6;184
GC103AM;A Salto;CASTELO BRANCO;MAntunes;39.821333;-6.973517;MULTI;REGULAR;2.5;3;AVAILABLE;2006/12/30;75;4;14;-9999999
GCXXY4;Sudoku Symphony of the Serras;FARO;Team Caracache;37.2657;-8.7007;PUZZLE;REGULAR;3;3;AVAILABLE;2006/09/11;40;5;5;-9999999
GCMG50;Serra da Estrela - Aldeia Vicosa;GUARDA;meiolimao;40.5846;-7.327983;TRADITIONAL;SMALL;3;3;AVAILABLE;2004/12/30;111;9;1;717
GCW5EA;A FENDA [Lourinha];LISBOA;miguelrk;39.297667;-9.200217;TRADITIONAL;REGULAR;3;5;AVAILABLE;2006/05/21;118;7;63;88
GCX3Y3;22.5 House Barao Sao Joao area, Algarve;FARO;Team Caracache;37.156283;-8.801617;MULTI;SMALL;3;3;AVAILABLE;2006/07/12;61;4;3;143
GC1585G;AA10 - Parque Tematico da Lagoa;LEIRIA;H3A;39.833817;-8.855283;MULTI;REGULAR;2;1.5;AVAILABLE;2007/08/18;235;11;0;14
GCXF5A;Rota das Capelas;SETUBAL;papaleguas;38.473033;-8.999617;TRADITIONAL;SMALL;2;4;AVAILABLE;2006/08/01;300;20;4;-9999999
GC10CWT;masseiras;PORTO;emlino;41.46345;-8.768533;TRADITIONAL;REGULAR;1.5;2;AVAILABLE;2007/01/14;551;2;1;7
GCXQQ9;Estela-Menir [Tondela, Viseu];VISEU;almeidara;40.633433;-8.086467;TRADITIONAL;REGULAR;1;1.5;AVAILABLE;2006/08/15;287;1;0;-9999999
GC14XPA;Oasis no Alentejo [Galveias];PORTALEGRE;RobinWood23;39.1572;-7.992583;TRADITIONAL;SMALL;2;2;AVAILABLE;2007/08/05;214;0;0;224
